"","pkmz","grim","rpl19","rRNA18S","fmr1","dlg4","fos","gria","grin","nsf","cam2kd","creb","ind","time","region","APA","strain","year"
"2",0.417665233481885,1.22305552689003,9.07818029057286,5.7140700873595,0,2.83856415034936,0,3.56730304391606,1.70274064193482,2.50904362734462,4.3827715839476,0.00830094162316485,"a wt","AM","CA1","Trained","B6",2014
"5",1.77094109816426,2.44002174303202,10.4852517888411,6.24130889640279,0.207487656335342,3.80266496187771,2.40571459564122,5.06465666347632,3.34689985782146,4.35944231076612,7.16132479185539,1.33698995343778,"b ","AM","CA1","Trained","fmr1",2014
"7",1.8945859482439,2.40033593517229,11.5826433333879,5.99748573183975,0.225160082815882,3.75826946681407,2.40575822816082,5.09121954856642,3.34739840651448,4.59443438185705,7.08339641496399,1.24099803439753,"c","AM","CA1","Trained","fmr1",2014
"9",1.87363085755972,2.41689760965454,10.1046499922144,6.82205084420146,0.180633310574413,3.81640546137196,2.4058910751091,5.06074777488106,3.34849037511305,4.4139995163542,6.55847599411577,1.34352286658761,"f","AM","CA1","Trained","fmr1",2014
"11",1.86117755774477,2.39838940181351,11.5383939674546,6.56767215339702,0.213795290792059,3.77790104758326,2.40575366996353,5.04221603414392,3.34703497854254,7.53966940873439,9.92449925264699,1.20779746730256,"h","AM","CA1","Trained","fmr1",2014
"13",1.8415342442005,2.39223599384997,12.1221063877128,7.45780995537522,0.189682869959047,3.82222607549862,2.40577344814213,5.03819139805595,3.34669820230216,4.19254310619705,7.03145789936891,1.21157342554234,"j","AM","CA1","Trained","fmr1",2014
"18",2.78039929672792,1.20963920845956,3.65829914943668,10.6758348433158,0,3.07041050541761,0,3.54921018918034,1.70619133622401,3.14693981482524,3.25747335970647,0,"BL 9","AM","CA3","Trained","B6",2013
"22",2.90101187154434,1.29073538962637,3.33345119668812,10.3040432107165,0,3.09243147429175,0,3.57389962313937,1.69067927073485,3.93540427670989,3.01212803015176,0,"BL 19","PM","CA3","Trained","B6",2013
"25",2.7464844263187,1.19796333599092,3.8462313334861,10.7407827042079,0,3.02910569683572,0,3.5895555031667,1.71270411650993,3.98653502961367,3.37988860610464,0,"BL 11","AM","CA3","Trained","B6",2013
"26",2.89257712513241,1.19221927643732,3.48595883396274,10.5889051917244,0,3.09259500015855,0,3.57737181831014,1.7107522962925,2.29089942773196,3.12205252140593,0,"BL 3","AM","CA3","Trained","B6",2013
"27",2.85744153850382,1.22398482589934,3.35757886469006,11.1008624403602,0,3.09041338059895,0,3.55434970632255,1.71081618458734,3.26429465710549,2.86608650248781,0,"BL 5","AM","CA3","Trained","B6",2013
"28",2.96238452107008,1.26994478538947,2.90815146737162,10.2207350410427,0,3.11133947681975,0,3.62480269693791,1.69266154388406,3.12110651421024,2.51288016922535,0,"BL 13","PM","CA3","Trained","B6",2013
"31",3.04648581839612,1.31276636282639,3.16440915728157,10.6921265583151,0,3.14861427999145,0,3.57534246948258,1.68973935949696,3.11227150081801,2.75403364473952,0,"BL 15","PM","CA3","Trained","B6",2013
"32",2.94089223439218,1.23036216029645,3.21669373008187,10.2417097206322,0,3.07753397258769,0,3.56955922798748,1.70946532843049,3.37969740574485,3.51422270842509,0,"BL 7","AM","CA3","Trained","B6",2013
"33",2.71277262030926,1.15526658532997,3.55591418199572,12.9376321994811,0,2.99418598126368,0,3.5985019423707,1.71364749811662,2.55512177389979,0,0,"BL 1","AM","CA3","Trained","B6",2013
"34",2.73561420045812,1.14770507779983,3.541019337494,12.6977075144582,0,3.00293385372447,0,3.61188546799648,1.71299490036771,3.32936266523839,0,0,"BL 2","AM","CA3","Trained","B6",2013
"1",1.71543250611938,1.51994834785435,10.5510374928125,5.86116002077767,0,3.02847571660099,1.87460166397139,4.59908820857794,3.01051280740416,4.09107520174815,6.48226946689876,1.19602148076577,"a","AM","CA1","Control","fmr1",2014
"4",0.000371116874606757,1.07326626534742,9.22517559463972,4.93676747246591,0,2.60103727631953,0,3.38832014595164,1.2075705783745,2.62432592337108,4.14215001622851,0,"ab","AM","CA1","Control","B6",2014
"8",1.75634847884977,1.51965211777879,11.0319826935164,5.85357465371992,0,3.0098771159709,1.87461076294098,4.61716019745583,3.01208914541036,4.0551366971296,6.53465113380855,1.03973468832368,"e","AM","CA1","Control","fmr1",2014
"10",1.71319067052278,1.51540075019276,10.9657686179192,7.15059749167339,0,3.01328298639435,1.87461713835583,4.57696648677779,3.01084380985889,4.476260650716,5.59737225374491,1.06805729353341,"g","AM","CA1","Control","fmr1",2014
"12",1.81075968440242,1.522755380299,10.1330403762309,7.71081017290451,0,3.02533169091103,1.87464439443691,4.58978496322068,3.010152808305,4.02809035334441,6.29583614191602,1.12699124646896,"i","AM","CA1","Control","fmr1",2014
"14",1.73739265239139,1.51959891280728,10.6320493860356,6.27955854091365,0,3.02206126560786,1.87460108341042,4.61549998824943,3.01126744641588,3.97277023755023,0,1.0878875545238,"k","AM","CA1","Control","fmr1",2014
"19",2.39264069969315,1.08108100475596,3.42179945862236,9.82819173921539,0,2.85451013427919,0,3.39407511564688,1.21669808961187,2.78581651130821,2.91131975276968,0,"BL 8","AM","CA3","Control","B6",2013
"20",2.36320551829169,1.06233991790066,3.2528351329727,10.1993690324538,0,2.84236176838295,0,3.41016111732304,1.21776471213528,2.8603282708598,2.94555531141885,0,"BL 14","AM","CA3","Control","B6",2013
"21",2.54133326750759,1.04508346725479,3.68366529377616,11.5604984294702,0,2.84796484610054,0,3.38553688079554,1.21511833094043,2.70806391734555,2.21991040646376,0,"BL 4","AM","CA3","Control","B6",2013
"23",2.39409201946829,1.04105367433059,3.30212333385247,10.2453575903304,0,2.83551701181827,0,3.41311921869308,1.21552923303111,3.26127746772184,3.14852931245585,0,"BL 6","AM","CA3","Control","B6",2013
"24",2.40055976754817,1.04622868709498,2.94562346336611,10.3295219429111,0,2.84682310758571,0,3.43023917639146,1.21871263993865,2.85890292656744,2.90919059641217,0,"BL 18","AM","CA3","Control","B6",2013
"29",2.59829843678449,1.13049484547864,3.21574227616022,9.63002383760245,0,2.92920838933868,0,3.40758392098761,1.19622006390544,2.72269845687838,2.58702692093357,0,"BL 10","PM","CA3","Control","B6",2013
"30",2.52424002790505,1.06135060735267,3.481446409907,10.1903960458832,0,2.84727701260114,0,3.38831630286679,1.21763216744749,2.94199872401219,1.87040903534778,0,"BL 12","AM","CA3","Control","B6",2013
