"ind","genotype","APA","session","TotalLocomotorActivity","LastLocomotorActivity","TotalPunishment","Punishment.1","LastPunishment","LastTotalEntrances","T1Retention","T2Retention","IO_Max","LTP_Baseline","LTP_Baseline_SD","filename","genoAPA"
"BL 1","WT","trained","retention",98.4,20.16,15,2,15,131.57,304.8,12,130,0,0,"              bl1D2Retest_Room_Train","WT_trained"
"BL 2","WT","trained","retention",108.41,23.62,13,4,13,6.83,94.93,9.8,127,9.3,1,"              bl2D2Retest_Room_Train","WT_trained"
"BL 3","WT","trained","retention",97.9,15.43,6,1,6,162.9,599.97,4,136,3.7,1,"              bl3D2Retest_Room_Train","WT_trained"
"BL 4","WT","control","retention",109.33,24,0,0,85,4.73,18.53,2.4,212,NA,NA,"              bl4D2Retest_Room_Control","WT_control"
"BL 5","WT","trained","retention",97.36,16.3,21,3,17,58.57,331.2,2.6,125,0,0,"              bl5D2Retest_Room_Train","WT_trained"
"BL 6","WT","control","retention",113.41,17.01,0,0,56,10.83,36.07,2.1,203,NA,NA,"              bl6D2Retest_Room_Control","WT_control"
"BL 7","WT","trained","retention",95.01,20.08,10,5,10,0.53,30,5.8,120,5.9,1,"              bl7D2Retest_Room_Train","WT_trained"
"BL 8","WT","control","retention",81.61,18.5,0,0,83,0.53,11.5,6.5,263,0,0,"              bl8D2Retest_Room_Control","WT_control"
"BL 9","WT","trained","retention",88.81,16.18,9,2,9,42.87,285.2,13,176,26,1,"              bl9D2Retest_Room_Train","WT_trained"
"BL 10","WT","control","retention",103.35,22.9,0,0,82,0.9,4.8,3.8,166,0,0,"             bl10D2Retest_Room_Control","WT_control"
"BL 11","WT","trained","retention",104.74,18.78,26,10,22,23.7,60.33,12,202,4.4,1,"             bl11D2Retest_Room_Train","WT_trained"
"BL 12","WT","control","retention",112.66,24.42,0,0,73,32,47.03,7.6,150,1.5,0,"             bl12D2Retest_Room_Control","WT_control"
"BL 13","WT","trained","retention",113.9,20.87,10,4,9,28.3,404.17,9.8,142,4.2,1,"             bl13D2Retest_Room_Train","WT_trained"
"BL 14","WT","control","retention",94.73,15.82,0,0,53,3.23,19.7,10,136,1.1,1,"             bl14D2Retest_Room_Control","WT_control"
"BL 15","WT","trained","retention",135,19.16,25,1,25,347.53,599.97,7.3,147,3.9,1,"             bl15D2Retest_Room_Train","WT_trained"
"BL 16","WT","control","retention",84.19,16.19,0,0,74,3.53,63.73,9.7,125,16,1,"             bl16D2Retest_Room_Control","WT_control"
"BL 17","WT","trained","retention",97.84,17.22,12,3,11,17.43,153.13,NA,NA,NA,NA,"             bl17D2Retest_Room_Train","WT_trained"
"BL 18","WT","control","retention",102.48,21.19,0,0,81,19.27,40.8,NA,NA,NA,NA,"             bl18D2Retest_Room_Control","WT_control"
"BL 19","WT","trained","retention",102.89,19.9,15,3,15,276.07,491.87,NA,NA,NA,NA,"             bl19D2Retest_Room_Train","WT_trained"
"FMR1 AB","FMR1-KO","control","retention",118.51,20.7,0,0,74,84.17,203.51,-6.7,148.3,NA,NA,"RoomTrack_fmr1AB_retention_20140130_102946.dat","FMR1-KO_control"
"FMR1 A","FMR1-KO","control","retention",126.31,29.36,0,0,118,4.87,11.84,-3.1,194.1,NA,NA,"RoomTrack_fmr1A_reten_20140122_105316.dat","FMR1-KO_control"
"FMR1 B","FMR1-KO","trained","retention",110,19.2,74,36,51,78.83,197.87,-6.4,134,NA,NA,"RoomTrack_fmr1B_retention_20140123_111551.dat","FMR1-KO_trained"
"FMR1 C","FMR1-KO","trained","retention",117.56,21.11,62,35,33,9.18,91.81,-6.2,158.5,NA,NA,"RoomTrack_fmr1C_retention_20140128_111745.dat","FMR1-KO_trained"
"FMR1 E","FMR1-KO","control","retention",107.93,21,0,0,83,11.04,50.74,-10.5,152,NA,NA,"RoomTrack_fmr1E_retention_20140219_122908.dat","FMR1-KO_control"
"FMR1 F","FMR1-KO","trained","retention",116.54,22.06,119,61,78,3.47,52.45,-12.2,164.4,NA,NA,"RoomTrack_fmr1F_retention_20140221_112510.dat","FMR1-KO_trained"
"FMR1 G","FMR1-KO","control","retention",142.52,34.65,0,0,122,0.77,21.99,-4.7,160.5,NA,NA,"RoomTrack_fmr1G_retention_20140225_115112.dat","FMR1-KO_control"
"FMR1 H","FMR1-KO","trained","retention",116.25,24.62,77,41,46,15.31,37.4,-11.3,139,NA,NA,"RoomTrack_frm1H_retention_20140226_111535.dat","FMR1-KO_trained"
"FMR1 I","FMR1-KO","control","retention",102.26,22.88,0,0,99,10.51,12.81,-11.1,121.4,NA,NA,"RoomTrack_fmr1I_retention_20140227_095631.dat","FMR1-KO_control"
"FMR1 J","FMR1-KO","trained","retention",102.54,17.32,44,9,37,246.88,348.1,-12.2,177.5,NA,NA,"RoomTrack_fmr1J_retention_20140305_130644.dat","FMR1-KO_trained"
"FMR1 K","FMR1-KO","control","retention",141.54,27.62,0,0,114,5.61,20.75,-15.4,128.9,NA,NA,"RoomTrack_fmr1K_retention_20140307_105231.dat","FMR1-KO_control"
"BL A","WT","trained","retention",94.51,19.28,44,19,34,96.32,178.42,-8.8,127.9,NA,NA,"RoomTrack_wildtypeA_retention_20140124_105250.dat","WT_trained"
