"sessionbeahvior","module","session"
"retention_AnnularAvg","blue","retention"
"retention_AnnularKurtosis","blue","retention"
"retention_AnnularMaxBin","blue","retention"
"retention_AnnularMaxVal","blue","retention"
"retention_AnnularSkewnes","blue","retention"
"retention_MaxAvoidPath","blue","retention"
"retention_MaxAvoidTime","blue","retention"
"retention_MaxHiBin","blue","retention"
"retention_MinLoBin","blue","retention"
"retention_PathToFirstEntrance","blue","retention"
"retention_PathToFirstShock","blue","retention"
"retention_PathToSecondEntrance","blue","retention"
"retention_PolarAveVal","blue","retention"
"retention_PolarMaxBin","blue","retention"
"retention_PolarMaxVal","blue","retention"
"retention_pTimeOPP","blue","retention"
"retention_RayleigLength","blue","retention"
"retention_SpeedToFirstEntrance","blue","retention"
"retention_SpeedToSecondEntranc","blue","retention"
"retention_TimeToFirstEntrance","blue","retention"
"retention_TimeToFirstShock","blue","retention"
"retention_TimeToSecondEntrance","blue","retention"
"training2_AnnularAvg","blue","training2"
"training2_AnnularKurtosis","blue","training2"
"training2_AnnularMaxBin","blue","training2"
"training2_AnnularMaxVal","blue","training2"
"training2_AnnularSD","blue","training2"
"training2_AnnularSkewnes","blue","training2"
"training2_LineArity","blue","training2"
"training2_MaxAvoidPath","blue","training2"
"training2_MaxAvoidTime","blue","training2"
"training2_MaxHiBin","blue","training2"
"training2_MinLoBin","blue","training2"
"training2_PathToFirstEntrance","blue","training2"
"training2_PathToFirstShock","blue","training2"
"training2_PathToSecondEntrance","blue","training2"
"training2_PolarAveVal","blue","training2"
"training2_PolarMaxBin","blue","training2"
"training2_PolarMaxVal","blue","training2"
"training2_pTimeOPP","blue","training2"
"training2_RayleigLength","blue","training2"
"training2_TimeToFirstEntrance","blue","training2"
"training2_TimeToFirstShock","blue","training2"
"training2_TimeToSecondEntrance","blue","training2"
"training3_AnnularAvg","blue","training3"
"training3_AnnularKurtosis","blue","training3"
"training3_AnnularMaxBin","blue","training3"
"training3_AnnularMaxVal","blue","training3"
"training3_AnnularSkewnes","blue","training3"
"training3_MaxAvoidPath","blue","training3"
"training3_MaxAvoidTime","blue","training3"
"training3_MaxHiBin","blue","training3"
"training3_MinLoBin","blue","training3"
"training3_PathToFirstEntrance","blue","training3"
"training3_PathToFirstShock","blue","training3"
"training3_PathToSecondEntrance","blue","training3"
"training3_PolarAveVal","blue","training3"
"training3_PolarMaxVal","blue","training3"
"training3_pTimeCCW","blue","training3"
"training3_pTimeOPP","blue","training3"
"training3_RayleigLength","blue","training3"
"training3_TimeToFirstEntrance","blue","training3"
"training3_TimeToFirstShock","blue","training3"
"training3_TimeToSecondEntrance","blue","training3"
"retention_SDofSpeed","brown","retention"
"retention_Speed","brown","retention"
"retention_TotalPath","brown","retention"
"training2_PolarMinBin","brown","training2"
"training2_pTimeCCW","brown","training2"
"training2_SDofSpeed","brown","training2"
"training2_Speed","brown","training2"
"training2_TotalPath","brown","training2"
"training3_SDofSpeed","brown","training3"
"training3_Speed","brown","training3"
"training3_SpeedToSecondEntranc","brown","training3"
"training3_TotalPath","brown","training3"
"retention_AnnularMinBin","turquoise","retention"
"retention_AnnularMinVal","turquoise","retention"
"retention_AnnularSD","turquoise","retention"
"retention_EntrancePerDistance","turquoise","retention"
"retention_Entrances","turquoise","retention"
"retention_LineArity","turquoise","retention"
"retention_MaxLoBin","turquoise","retention"
"retention_MinHiBin","turquoise","retention"
"retention_PolarMinBin","turquoise","retention"
"retention_PolarMinVal","turquoise","retention"
"retention_PolarSdVal","turquoise","retention"
"retention_pTimeCCW","turquoise","retention"
"retention_pTimeCW","turquoise","retention"
"retention_pTimeTARG","turquoise","retention"
"retention_RayleigAngle","turquoise","retention"
"retention_TimeTARG","turquoise","retention"
"retention_TotalShocks","turquoise","retention"
"training2_AnnularMinBin","turquoise","training2"
"training2_AnnularMinVal","turquoise","training2"
"training2_EntrancePerDistance","turquoise","training2"
"training2_Entrances","turquoise","training2"
"training2_MaxLoBin","turquoise","training2"
"training2_MinHiBin","turquoise","training2"
"training2_PolarMinVal","turquoise","training2"
"training2_PolarSdVal","turquoise","training2"
"training2_pTimeCW","turquoise","training2"
"training2_pTimeTARG","turquoise","training2"
"training2_RayleigAngle","turquoise","training2"
"training2_SpeedToFirstEntrance","turquoise","training2"
"training2_SpeedToSecondEntranc","turquoise","training2"
"training2_TimeTARG","turquoise","training2"
"training2_TotalShocks","turquoise","training2"
"training3_AnnularMinBin","turquoise","training3"
"training3_AnnularMinVal","turquoise","training3"
"training3_AnnularSD","turquoise","training3"
"training3_EntrancePerDistance","turquoise","training3"
"training3_Entrances","turquoise","training3"
"training3_LineArity","turquoise","training3"
"training3_MaxLoBin","turquoise","training3"
"training3_MinHiBin","turquoise","training3"
"training3_PolarMaxBin","turquoise","training3"
"training3_PolarMinBin","turquoise","training3"
"training3_PolarMinVal","turquoise","training3"
"training3_PolarSdVal","turquoise","training3"
"training3_pTimeCW","turquoise","training3"
"training3_pTimeTARG","turquoise","training3"
"training3_RayleigAngle","turquoise","training3"
"training3_SpeedToFirstEntrance","turquoise","training3"
"training3_TimeTARG","turquoise","training3"
"training3_TotalShocks","turquoise","training3"
